,z,atoms,ccsdt,hf,dft
0,0,H,-0.4998098152732826,-0.49980981527328217,-0.4961160672560898
1,1,Li,-7.379643850235699,-7.364238517354535,-7.396608396855012
2,2,Be,-14.63335294005627,-14.571877709109799,-14.518023590751614
3,3,B,-24.60912471015104,-24.53009870206556,-24.444438163992466
4,4,C,-37.72608959378817,-37.59872802365611,-37.014892376
5,5,N,-54.403457061979545,-54.25884105263989,-54.136799
6,6,O,-74.86829587151186,-74.6780140486093,-74.52741
7,7,F,-99.58435540209732,-99.39687450432862,-99.114192
8,8,Na,-161.97911583682955,-161.84592616166628,-161.447625
9,9,Mg,-199.7693712610812,-199.60655357592486,-199.139406
10,10,Al,-242.04307678281106,-241.87214498259766,-241.321156
11,11,Si,-288.9938063974419,-288.78931973009514,-288.222945
12,12,P,-340.8374349210873,-340.6186610357745,-340.005794
13,13,S,-397.66534788039553,-397.41535676178677,-396.743948
14,14,Cl,-459.651808086146,-459.4730762914907,-458.671463
