index,atom1,atom2,r,hf,ccsdt,difference
0,H,H,0.4,-0.066782,-0.086608,0.019826
1,H,H,0.568116,-0.657134,-0.677723,0.02059
2,H,H,0.736232,-0.917767,-0.939023,0.021256
3,H,H,0.904348,-1.041673,-1.06363,0.021958
4,H,H,1.072464,-1.099723,-1.122556,0.022833
5,H,H,1.24058,-1.123277,-1.14729,0.024013
6,H,H,1.408696,-1.127905,-1.153498,0.025593
7,H,H,1.576812,-1.121906,-1.149531,0.027625
8,H,H,1.744928,-1.109913,-1.140039,0.030127
9,H,H,1.913043,-1.094612,-1.127707,0.033095
10,H,H,2.081159,-1.077617,-1.114139,0.036523
11,H,H,2.249275,-1.059923,-1.10033,0.040407
12,H,H,2.417391,-1.042163,-1.08691,0.044747
13,H,H,2.585507,-1.024743,-1.074287,0.049544
14,H,H,2.753623,-1.007915,-1.062707,0.054793
15,H,H,2.921739,-0.991829,-1.052309,0.06048
16,H,H,3.089855,-0.976565,-1.043144,0.06658
17,H,H,3.257971,-0.962147,-1.035201,0.073054
18,H,H,3.426087,-0.948572,-1.028424,0.079852
19,H,H,3.594203,-0.935815,-1.022725,0.08691
20,H,H,3.762319,-0.923842,-1.017996,0.094155
21,H,H,3.930435,-0.912612,-1.014122,0.101509
22,H,H,4.098551,-0.902087,-1.010982,0.108896
23,H,H,4.266667,-0.892225,-1.008464,0.116239
24,H,H,4.434783,-0.88299,-1.006462,0.123472
25,H,H,4.602899,-0.874345,-1.004882,0.130537
26,H,H,4.771014,-0.866255,-1.003642,0.137387
27,H,H,4.93913,-0.858686,-1.002674,0.143988
28,H,H,5.107246,-0.851608,-1.001922,0.150314
29,H,H,5.275362,-0.844991,-1.00134,0.156349
30,H,H,5.443478,-0.838806,-1.00089,0.162085
31,H,H,5.611594,-0.833025,-1.000544,0.167519
32,H,H,5.77971,-0.827623,-1.000279,0.172656
33,H,H,5.947826,-0.822576,-1.000078,0.177501
34,H,H,6.115942,-0.817861,-0.999925,0.182064
35,H,H,6.284058,-0.813456,-0.999811,0.186355
36,H,H,6.452174,-0.80934,-0.999726,0.190387
37,H,H,6.62029,-0.805494,-0.999665,0.194171
38,H,H,6.788406,-0.801899,-0.999621,0.197722
39,H,H,6.956522,-0.798539,-0.999591,0.201052
40,H,H,7.124638,-0.795398,-0.999571,0.204173
41,H,H,7.292754,-0.792461,-0.999559,0.207098
42,H,H,7.46087,-0.789712,-0.999552,0.209839
43,H,H,7.628986,-0.787141,-0.999549,0.212408
44,H,H,7.797101,-0.784733,-0.999549,0.214816
45,H,H,7.965217,-0.782478,-0.99955,0.217072
46,H,H,8.133333,-0.780364,-0.999553,0.219189
47,H,H,8.301449,-0.778382,-0.999556,0.221174
48,H,H,8.469565,-0.776522,-0.999559,0.223038
49,H,H,8.637681,-0.774775,-0.999563,0.224788
50,H,H,8.805797,-0.773133,-0.999566,0.226433
51,H,H,8.973913,-0.771588,-0.999569,0.227981
52,H,H,9.142029,-0.770134,-0.999572,0.229438
53,H,H,9.310145,-0.768762,-0.999574,0.230812
54,H,H,9.478261,-0.767468,-0.999576,0.232108
55,H,H,9.646377,-0.766245,-0.999578,0.233333
56,H,H,9.814493,-0.765089,-0.99958,0.234491
57,H,H,9.982609,-0.763993,-0.999581,0.235588
58,H,H,10.150725,-0.762954,-0.999582,0.236629
59,H,H,10.318841,-0.761967,-0.999583,0.237617
60,H,H,10.486957,-0.761028,-0.999584,0.238557
61,H,H,10.655072,-0.760134,-0.999585,0.239451
62,H,H,10.823188,-0.759281,-0.999586,0.240305
63,H,H,10.991304,-0.758466,-0.999586,0.24112
64,H,H,11.15942,-0.757687,-0.999587,0.241899
65,H,H,11.327536,-0.756941,-0.999587,0.242646
66,H,H,11.495652,-0.756226,-0.999587,0.243362
67,H,H,11.663768,-0.755538,-0.999588,0.244049
68,H,H,11.831884,-0.754877,-0.999588,0.244711
69,H,H,12,-0.754241,-0.999588,0.245347
70,Li,H,0.4,-4.67858,-4.744775,0.066194
71,Li,H,0.568116,-6.100135,-6.168097,0.067963
